iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,1,0,0,311,232,2211,131,0
1,0,0,1,1,322,213,1331,123,1
0,1,1,0,1,321,212,1231,333,1
0,1,0,0,1,223,131,1331,331,0
0,0,1,1,0,323,132,3132,311,1
0,0,1,1,1,223,132,2212,333,1
1,0,1,1,1,313,131,1332,123,1
1,0,0,0,1,132,313,1132,323,0
0,1,1,1,1,232,321,1313,331,1
0,1,1,0,0,131,213,2113,313,1
1,1,0,1,1,213,132,2132,122,0
1,1,1,1,1,131,323,2221,333,0
1,1,0,0,0,212,321,1212,232,0
1,0,1,1,0,213,132,2313,111,0
1,0,0,1,0,323,132,1321,332,0
0,0,0,1,0,212,321,3123,122,0
0,0,1,0,0,121,232,1212,131,1
0,0,0,0,0,312,131,2313,333,1
0,0,1,0,1,121,213,3232,233,0
1,1,0,0,1,131,213,2131,123,1
1,0,1,0,0,323,112,2333,321,0
0,0,0,0,1,213,332,1113,312,1
1,1,1,1,0,312,221,1132,223,0
1,1,0,1,0,121,232,2211,323,0
1,1,1,0,1,323,131,1322,232,0
0,1,0,1,0,131,212,1323,233,0
0,1,0,0,0,132,211,1323,221,1
0,0,0,1,1,212,323,2323,231,1
1,0,1,0,1,323,212,3323,133,1
1,0,0,0,0,332,123,1122,322,1
0,1,1,1,0,211,123,3131,123,0
0,1,0,1,1,132,321,3121,232,1
