iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,1,0,0,223,132,2331,332,1
1,1,1,0,0,131,323,2312,133,0
1,1,1,1,1,323,231,3112,333,0
1,1,1,1,0,121,233,1331,131,1
1,0,1,0,1,323,231,1121,322,1
0,0,1,1,0,131,323,1233,311,1
0,0,1,0,0,312,121,3221,221,1
1,0,0,1,0,132,313,1222,332,1
1,1,1,0,1,131,212,1322,213,0
1,1,0,1,1,113,321,2133,221,1
0,0,0,1,0,313,131,3111,223,0
1,0,1,1,1,311,132,2132,233,0
0,0,0,0,1,121,332,1333,223,1
0,1,0,1,1,121,313,2332,112,0
0,1,1,1,0,212,123,1131,232,0
0,1,0,0,0,213,132,3222,311,0
1,1,0,1,0,212,123,3313,132,0
0,0,1,0,1,231,312,3211,123,0
0,0,1,1,1,323,132,1321,322,0
1,0,0,0,1,113,232,3131,111,1
1,0,0,1,1,331,213,1212,131,0
0,0,0,0,0,312,123,2332,112,0
1,0,1,1,0,231,313,1223,233,1
1,1,0,0,1,121,313,3321,321,0
1,1,0,0,0,212,123,2221,231,0
0,1,1,0,1,123,232,2231,232,1
0,1,1,1,1,121,213,3313,212,1
0,0,0,1,1,332,121,2322,212,1
0,1,0,1,0,132,321,1221,122,0
0,1,0,0,1,321,133,2133,323,1
1,0,0,0,0,212,131,2121,211,1
1,0,1,0,0,132,311,3131,222,1
