iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,0,1,0,232,123,2233,332,0
0,1,1,0,1,131,323,3213,123,1
0,1,1,1,1,133,212,1232,333,1
0,1,0,1,1,232,123,2322,213,0
0,0,1,1,0,123,232,2313,332,1
0,1,1,0,0,131,323,2213,123,1
1,0,1,1,1,321,132,1332,123,1
1,1,1,1,1,132,321,1233,212,1
1,0,0,1,1,123,231,3132,131,0
0,1,1,1,0,123,212,1233,112,0
0,1,0,0,1,321,133,2321,313,1
1,1,0,1,0,321,212,1213,233,1
0,0,0,0,0,131,213,3122,321,1
0,1,0,1,0,231,313,1131,211,0
0,0,0,1,1,132,213,3332,313,0
1,0,1,0,0,321,212,2232,231,1
0,1,0,0,0,112,323,1332,233,0
1,0,1,1,0,211,132,3311,322,1
1,1,1,0,0,313,132,3112,212,1
1,1,1,1,0,323,131,3211,322,1
0,0,1,0,0,232,323,1211,222,0
1,0,1,0,1,313,132,1232,333,0
1,0,0,1,0,323,212,3132,211,0
1,0,0,0,0,213,321,3212,321,0
1,1,0,0,0,313,131,2113,121,1
0,0,1,0,1,312,231,2332,131,1
0,0,1,1,1,213,121,1333,231,0
1,1,0,0,1,233,122,3133,112,0
1,0,0,0,1,212,121,3221,312,0
1,1,0,1,1,131,322,3213,312,1
1,1,1,0,1,323,131,3223,333,0
0,0,0,0,1,313,231,1333,123,0
