iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,0,0,0,132,213,1123,132,0
1,0,0,0,1,123,312,2232,211,0
0,0,0,0,1,323,132,3211,233,0
0,1,0,1,1,123,331,1132,331,0
0,1,0,0,1,313,132,1323,133,0
1,1,1,1,0,323,231,2121,121,1
1,1,0,1,1,331,113,3211,211,1
1,0,0,1,0,322,131,3331,222,1
1,1,0,0,0,321,132,1122,112,0
1,1,0,1,0,221,112,3213,211,1
0,1,1,0,0,212,123,2313,311,1
1,0,1,0,1,232,121,1231,232,0
1,1,0,0,1,313,231,3212,332,1
1,1,1,0,0,221,312,3212,323,1
1,0,1,1,0,231,313,1323,322,0
1,0,0,0,0,231,113,3321,323,0
0,0,0,0,0,123,231,3113,133,1
1,0,1,1,1,132,321,1232,111,1
0,1,1,1,0,211,132,2333,232,1
0,1,1,1,1,132,213,1313,331,1
0,0,1,0,1,313,132,1233,311,0
1,1,1,1,1,231,323,2133,212,0
1,0,0,1,1,123,232,1133,311,1
0,1,1,0,1,321,233,3222,133,1
1,0,1,0,0,332,211,2313,123,1
0,1,0,1,0,312,131,3332,312,0
0,0,1,0,0,233,322,2131,232,0
1,1,1,0,1,232,323,1113,211,1
0,0,1,1,0,132,223,1113,313,1
0,0,0,1,1,213,132,1213,132,0
0,0,0,1,0,132,221,2223,231,0
0,0,1,1,1,312,123,2323,211,0
