iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,1,0,1,312,123,1222,223,1
0,1,1,0,0,232,121,1112,331,1
1,0,1,1,0,132,321,3222,111,0
0,0,0,1,1,321,232,3233,332,1
0,1,0,0,0,321,213,2211,133,1
0,0,1,0,0,123,232,2113,213,0
1,1,0,0,1,321,233,1112,122,1
1,1,0,1,0,123,211,3313,133,0
1,0,0,0,0,212,123,1133,123,0
0,0,0,0,0,131,213,2322,122,0
0,1,0,0,1,321,133,2231,133,1
1,0,1,0,1,132,213,3123,222,0
1,0,0,1,1,121,233,3123,232,1
1,1,0,0,0,232,123,1211,221,1
0,1,1,1,1,323,231,2312,221,1
1,0,0,0,1,313,221,2211,123,1
1,1,1,0,0,231,312,3132,313,1
0,0,1,1,1,212,331,1232,132,1
0,0,0,0,1,231,323,3313,333,1
0,0,1,0,1,132,313,2132,232,0
1,1,1,0,1,232,313,3231,321,0
0,1,0,1,0,123,232,2131,333,0
1,0,0,1,0,213,132,2223,132,0
1,0,1,0,0,132,211,3113,321,0
0,0,1,1,0,311,132,2321,231,0
0,0,0,1,0,212,331,1222,121,0
1,1,1,1,0,221,313,3133,332,1
1,1,0,1,1,123,231,3111,233,0
0,1,1,1,0,231,113,2313,211,1
1,0,1,1,1,321,132,1233,232,0
1,1,1,1,1,132,311,3312,123,1
0,1,0,1,1,232,321,3131,321,0
