iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,0,1,1,312,231,1221,222,0
0,1,1,1,1,321,213,2221,112,0
0,1,1,0,0,213,132,2313,113,1
1,0,0,1,0,332,211,2131,232,1
1,1,1,1,1,323,212,2131,332,0
1,1,1,1,0,131,212,3211,223,1
0,0,1,0,1,212,323,2111,233,0
0,1,1,0,1,312,123,2223,133,1
1,0,1,0,1,312,123,2231,131,1
0,0,1,0,0,123,212,3312,112,1
0,1,0,1,0,321,133,3213,322,0
1,1,0,0,0,323,131,2232,333,1
0,0,0,1,0,232,323,1121,222,0
0,1,0,0,0,212,123,1132,323,0
0,0,0,0,0,312,131,3233,122,0
0,1,1,1,0,231,113,3311,132,1
1,0,1,1,1,232,323,1112,311,1
1,1,0,1,0,223,112,3123,223,0
1,1,0,1,1,323,131,2112,133,1
1,0,0,1,1,331,123,3121,113,1
0,1,0,1,1,212,121,2131,222,1
1,0,1,1,0,122,313,2221,211,1
0,0,0,0,1,312,121,1312,111,0
0,1,0,0,1,321,132,3211,223,0
0,0,1,1,1,121,213,1313,231,0
1,1,0,0,1,213,132,3222,333,0
1,0,1,0,0,232,321,3222,233,1
1,0,0,0,0,213,131,3321,232,1
1,0,0,0,1,212,323,2111,321,1
1,1,1,0,1,313,132,3332,122,0
0,0,1,1,0,323,132,2321,312,0
1,1,1,0,0,123,212,3211,211,0
