iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,0,0,1,312,133,2232,313,1
0,1,1,0,1,123,212,1112,332,1
0,1,0,1,1,212,121,3111,333,0
1,1,1,0,0,113,332,1321,321,0
1,0,1,0,1,121,233,2313,123,0
1,1,0,0,1,321,212,1323,133,0
1,1,0,0,0,311,223,3133,233,0
1,1,1,1,1,121,213,3123,221,1
1,0,0,1,0,212,121,1213,111,1
0,1,1,1,0,131,213,3312,232,1
0,0,1,0,0,323,132,3111,223,0
0,0,1,0,1,312,131,3313,313,1
1,0,0,0,0,212,321,2231,232,1
0,0,1,1,1,212,123,3222,111,0
0,0,0,1,1,323,132,3113,223,1
0,1,1,0,0,132,321,1232,223,0
1,1,0,1,0,113,232,2333,322,0
1,0,1,0,0,131,312,2121,323,1
0,0,1,1,0,131,213,2223,232,0
0,1,0,0,0,123,332,3212,121,0
0,0,0,1,0,312,231,3213,211,1
1,0,1,1,0,232,323,3211,122,0
0,0,0,0,0,213,131,1213,231,1
0,1,0,0,1,223,312,1322,312,1
0,1,1,1,1,132,313,1331,121,1
0,1,0,1,0,212,121,3111,223,1
1,1,1,1,0,321,232,2322,332,0
1,1,0,1,1,232,311,1311,332,0
1,1,1,0,1,331,212,3323,132,1
1,0,1,1,1,313,232,3113,112,0
1,0,0,1,1,112,231,3321,233,1
1,0,0,0,1,113,232,1233,111,0
