iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,1,0,0,232,321,2122,223,0
0,1,0,1,1,313,121,3112,131,1
1,1,1,1,1,231,312,2332,113,0
1,0,0,1,1,231,313,1223,121,0
0,0,1,1,0,313,122,3132,222,0
0,1,1,1,1,313,232,2113,212,0
1,0,0,0,1,231,312,3131,122,0
1,1,0,0,1,313,231,2123,131,1
1,1,1,0,1,231,313,1133,231,0
0,0,0,1,0,321,213,2312,332,0
1,0,1,0,1,313,132,1233,323,0
1,1,0,0,0,112,231,1123,312,1
0,0,0,1,1,131,213,2213,321,1
1,1,1,1,0,113,232,1121,113,0
0,0,0,0,1,332,211,1222,332,1
0,1,1,1,0,321,232,1231,231,0
1,0,0,1,0,123,312,2112,311,1
0,1,1,0,0,123,211,3233,323,1
1,0,1,1,1,233,121,2213,321,1
1,0,1,1,0,313,132,2113,131,1
1,0,0,0,0,313,232,3311,122,1
1,1,1,0,0,232,113,3321,333,0
1,1,0,1,1,232,313,3222,233,0
0,0,1,1,1,313,232,2313,212,1
0,1,0,0,0,121,233,2311,322,1
0,0,0,0,0,313,232,2132,211,1
0,1,0,1,0,121,212,3113,321,1
0,0,1,0,1,112,231,1333,332,0
0,1,1,0,1,212,121,1313,113,1
1,1,0,1,0,212,121,3332,121,0
0,1,0,0,1,112,233,1332,113,1
0,0,1,0,0,231,323,1211,132,0
