iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,0,0,0,232,323,1331,113,1
0,0,0,0,1,312,123,3122,323,0
1,1,0,0,1,212,321,1313,332,1
1,1,1,1,1,233,321,2131,311,0
1,0,0,0,0,312,233,1112,111,1
0,1,0,0,0,213,121,2311,112,0
0,1,0,0,1,123,212,3322,332,1
0,1,0,1,0,232,323,3113,331,1
1,0,1,1,0,321,132,2212,321,0
0,1,1,1,0,131,213,1132,312,0
1,1,1,0,1,131,223,3231,322,1
1,0,1,1,1,321,232,3123,221,0
1,0,0,1,1,212,123,1123,321,0
0,1,1,0,0,132,313,3213,121,0
1,0,1,0,0,131,313,1113,121,1
0,0,0,1,1,123,331,2311,223,1
1,1,1,0,0,231,313,1213,112,1
0,0,1,1,1,323,132,2321,113,0
1,1,0,1,1,331,122,3313,322,0
0,0,1,1,0,313,122,3232,233,1
0,1,0,1,1,213,321,2131,323,0
0,0,0,0,0,323,231,3213,213,1
1,0,0,0,1,123,311,2131,313,1
1,0,0,1,0,312,133,2132,211,1
0,0,0,1,0,132,313,2131,221,0
0,0,1,0,1,123,232,3211,112,0
0,0,1,0,0,122,213,1122,113,1
1,1,1,1,0,322,131,2133,312,1
1,0,1,0,1,312,231,3211,332,0
0,1,1,1,1,312,231,3211,223,0
0,1,1,0,1,132,213,1231,112,0
1,1,0,1,0,321,213,1133,223,1
