iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,0,0,1,232,123,3111,112,1
0,0,1,1,0,212,121,2233,222,1
1,0,0,1,1,221,132,3212,223,1
0,0,0,0,0,123,212,3223,233,1
1,0,1,0,1,321,212,1332,311,0
1,0,1,1,0,212,121,1332,131,1
1,0,0,0,0,231,123,1313,331,0
0,1,0,1,1,211,122,1312,133,0
0,0,1,1,1,313,132,1213,111,0
1,0,0,0,1,133,211,1331,333,1
0,1,1,1,1,313,132,1133,112,1
0,1,1,0,1,132,221,3322,111,0
0,1,0,0,0,231,113,2321,322,0
1,0,1,0,0,131,213,3313,231,0
1,1,1,0,1,212,123,2221,113,0
1,1,1,0,0,212,131,3323,212,1
0,0,0,1,1,323,212,2221,121,0
1,0,1,1,1,313,231,3231,331,0
0,0,1,0,0,321,213,3313,213,0
1,1,0,0,1,312,233,1331,221,1
0,1,0,1,0,211,132,3213,321,0
1,1,0,0,0,133,212,2333,221,0
1,1,1,1,0,213,332,3313,112,0
1,1,1,1,1,321,212,3332,321,1
0,1,1,0,0,212,123,2132,213,1
1,0,0,1,0,123,212,1211,111,1
1,1,0,1,0,213,131,2313,232,1
0,0,1,0,1,322,213,3322,222,1
0,1,1,1,0,312,133,2322,112,1
1,1,0,1,1,213,321,3332,312,1
0,0,0,1,0,121,313,3213,123,0
0,0,0,0,1,132,323,3322,133,0
