iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,0,1,1,313,131,1233,333,1
1,1,0,1,1,311,123,3223,133,1
0,0,1,1,0,312,131,2313,111,1
1,1,1,1,1,132,323,2223,211,0
0,1,0,1,0,132,323,3232,232,0
0,1,1,1,0,321,133,1331,223,0
0,1,0,0,1,213,321,1313,131,1
1,1,1,0,0,321,213,1221,333,1
1,0,0,0,0,213,132,3231,312,1
0,0,1,1,0,232,313,2221,112,1
1,0,1,0,1,123,232,2123,123,0
1,1,0,1,1,322,231,1131,133,1
0,0,0,1,0,213,321,3323,213,0
0,0,0,1,1,213,331,1233,231,0
1,0,0,1,1,232,121,3332,332,1
0,1,0,1,0,312,131,2221,123,0
1,0,0,1,0,131,213,2131,233,0
1,0,1,1,1,312,233,1221,333,1
0,0,0,0,0,221,313,1332,221,0
0,1,1,1,1,322,213,1232,111,1
0,0,0,0,1,131,212,3212,233,0
0,0,1,0,1,121,312,2111,312,0
0,0,1,1,1,312,221,1313,123,1
1,0,1,1,0,121,212,2322,331,0
0,1,1,1,1,131,212,3122,312,1
1,1,1,1,0,313,132,3231,111,1
0,1,1,1,0,313,231,1311,122,0
1,1,1,1,1,132,221,3322,213,0
1,1,0,0,0,131,312,1331,322,1
1,0,0,1,1,132,313,2113,211,1
1,0,1,1,0,132,323,1113,332,0
1,1,0,1,0,231,323,3221,112,0
