iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,1,0,0,123,232,2223,122,1
0,0,1,1,1,212,321,1121,333,1
0,1,1,0,1,213,131,2321,332,1
1,1,1,1,1,233,321,3113,133,1
0,1,0,1,0,312,121,3332,332,1
1,1,0,1,1,323,211,3121,121,0
1,0,1,1,1,123,231,2232,321,1
0,0,0,1,0,321,112,3113,111,0
0,1,1,0,0,131,312,2212,112,1
0,0,1,0,1,131,323,1312,321,1
0,0,0,1,0,323,132,1131,233,0
0,0,0,1,1,313,131,1331,133,1
0,0,1,1,0,213,132,1331,333,1
0,1,0,1,1,232,113,1223,332,1
0,1,0,1,0,331,113,3112,123,1
1,1,1,0,1,312,121,3132,313,0
1,0,1,1,1,221,112,1312,232,1
1,1,0,1,1,231,313,2311,111,0
1,0,1,1,0,311,232,1132,232,1
1,0,0,0,1,312,231,1312,112,1
1,1,1,1,0,112,231,1321,122,1
1,0,0,1,1,223,131,1321,233,0
0,1,0,1,1,212,121,3233,333,0
0,1,1,1,0,121,232,3211,222,0
1,1,0,1,0,113,231,3223,321,0
1,1,0,1,0,112,321,1132,223,0
1,0,0,1,0,231,112,2123,332,0
0,1,1,1,1,121,213,2133,122,0
0,0,0,1,1,223,112,2111,312,0
1,1,1,1,0,321,213,1313,121,0
1,0,0,0,0,231,323,2212,222,0
1,0,1,0,0,231,313,2311,211,0
