iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,0,1,1,133,321,3133,333,0
1,1,0,0,1,132,213,2333,132,0
1,0,0,0,0,232,321,3112,113,1
0,1,1,1,0,321,213,1321,332,0
0,1,1,1,1,231,312,3331,232,0
0,0,1,1,1,213,121,3111,233,1
1,0,0,1,0,323,231,2221,123,1
1,1,0,0,0,323,211,2131,131,1
1,0,1,1,1,131,213,1131,111,1
0,1,0,1,0,231,123,2223,123,0
1,0,1,1,0,212,321,2111,121,1
1,0,1,0,0,232,321,3221,212,1
1,1,1,1,1,232,123,1123,221,1
1,1,1,1,1,231,112,1123,332,0
0,0,1,0,0,231,323,1231,331,1
0,1,0,1,0,211,132,3213,231,0
1,0,1,1,1,212,131,2323,323,1
0,0,1,1,0,231,313,3131,131,1
0,0,0,1,1,321,212,3211,211,0
0,0,0,0,0,321,212,3313,132,0
0,1,1,1,0,121,312,1112,331,1
0,1,0,1,1,323,232,3312,222,0
0,0,0,1,1,132,323,2333,332,1
1,1,0,1,0,321,212,1112,313,1
0,0,0,1,0,321,133,1313,321,0
0,0,1,0,1,131,213,1313,313,1
1,1,1,1,0,223,312,2132,313,0
1,0,0,0,1,212,123,3222,223,1
0,1,1,1,1,131,312,2312,211,0
1,1,0,1,1,213,131,2133,212,0
1,1,1,1,0,213,132,1131,223,0
0,1,0,1,1,332,121,2132,112,0
