iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,0,1,1,311,123,3132,332,0
0,1,0,1,0,131,312,2132,313,1
1,1,1,1,0,231,313,2232,233,0
1,1,0,1,0,321,232,2322,332,1
1,1,0,1,0,132,313,3323,213,0
0,0,1,1,0,121,212,3123,211,1
0,1,0,1,1,232,121,3221,331,0
1,1,0,0,1,231,123,3112,211,1
1,1,1,1,0,131,212,2333,111,1
0,1,1,1,1,232,323,3232,113,1
0,1,1,1,0,313,132,2232,331,0
1,0,1,1,0,123,232,3323,121,1
1,0,0,1,0,211,123,1232,222,0
0,0,1,0,0,321,132,2131,321,0
0,1,1,1,0,312,131,1221,333,0
1,1,1,1,1,232,123,3222,313,1
1,0,0,0,0,231,312,2333,311,0
1,1,1,0,1,312,133,3112,112,0
0,0,0,1,1,323,231,2223,213,0
0,1,0,1,0,123,212,3322,312,0
0,0,0,1,1,121,312,3323,232,0
0,1,1,1,1,121,313,1233,112,1
0,0,1,1,1,321,213,1131,111,1
1,0,1,0,1,312,131,1231,321,0
1,0,0,1,1,232,323,1323,122,1
1,0,1,1,1,112,233,3123,311,0
0,0,0,1,0,322,213,1113,113,1
1,0,1,0,0,212,321,1331,111,1
0,1,0,1,1,321,113,1311,312,1
1,0,0,0,1,233,121,3111,123,0
0,0,0,0,0,313,121,3233,323,1
0,0,1,1,1,213,321,1213,123,1
