iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,1,1,1,123,231,2333,131,0
1,0,1,0,0,321,212,3312,321,0
0,1,0,1,1,213,121,2133,231,0
1,1,1,1,1,122,313,1133,221,0
0,1,0,0,0,213,121,3232,212,1
1,0,0,0,1,321,132,3212,213,1
1,0,1,0,1,213,131,1221,112,0
1,1,1,1,0,121,213,1113,221,1
1,1,0,1,0,213,132,1323,323,1
0,1,1,1,0,312,231,3121,112,0
1,1,0,0,0,312,231,1213,221,0
1,1,0,0,1,231,322,2311,312,1
0,0,0,1,1,121,212,3123,322,1
1,0,1,1,1,321,113,3313,213,0
1,0,0,0,0,212,121,1322,331,1
1,0,1,1,0,331,223,2133,123,0
1,0,0,1,1,131,313,1213,111,1
0,0,1,1,0,322,233,2333,212,1
0,0,1,1,1,132,223,2223,213,0
0,0,0,1,0,312,231,3121,211,0
1,1,1,0,1,332,121,3232,233,1
0,0,1,0,0,321,212,2221,213,1
0,1,1,0,1,232,321,1131,321,1
0,0,0,0,0,212,323,3211,333,0
0,1,0,0,1,312,133,2212,133,1
1,0,0,1,0,121,313,2312,132,1
1,1,1,0,0,323,132,1312,133,0
0,0,0,0,1,132,323,1231,131,0
0,1,1,0,0,132,221,2211,323,1
0,1,0,1,0,313,131,2111,111,0
0,0,1,0,1,123,232,1232,321,0
1,1,0,1,1,233,121,3223,313,1
