iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,0,0,1,231,312,1333,312,1
0,1,0,0,0,312,231,2212,121,0
1,0,1,1,1,231,123,3321,323,0
1,0,0,1,1,321,113,1332,223,0
1,1,0,1,0,312,131,1323,132,1
0,1,1,0,0,232,121,2232,212,1
1,1,0,1,1,323,132,2211,122,0
0,1,0,1,1,321,132,3331,221,1
1,0,0,0,0,321,113,1222,333,1
0,1,1,1,0,122,213,2122,213,0
1,1,1,0,1,131,212,3233,123,0
0,0,1,0,1,212,121,3313,111,1
0,0,1,0,0,323,232,2322,333,0
0,1,0,1,0,231,313,1322,221,1
1,0,1,1,0,123,231,3212,133,1
0,1,0,0,1,312,133,1212,222,0
1,1,1,1,0,232,313,1321,311,1
0,0,1,1,1,213,131,1123,213,1
0,1,1,0,1,213,122,3123,123,1
1,0,1,0,1,132,323,3232,111,1
1,1,0,0,0,313,121,3213,232,1
0,0,0,0,0,321,212,3123,212,0
1,1,1,0,0,123,212,2133,221,0
0,1,1,1,1,321,113,2113,231,0
0,0,0,1,0,221,313,1321,321,1
1,1,1,1,1,223,312,1311,313,0
1,0,1,0,0,232,323,3213,213,1
0,0,0,0,1,321,132,2322,313,0
0,0,1,1,0,321,232,1222,232,1
1,1,0,0,1,123,231,2332,231,0
1,0,0,1,0,313,131,1133,323,0
0,0,0,1,1,213,122,2333,223,0
