iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,0,1,1,121,332,3113,232,1
1,0,1,1,1,232,121,3311,213,1
1,1,1,0,0,123,231,2133,221,0
0,0,0,0,1,312,221,1313,233,0
0,0,1,1,0,121,313,2122,232,0
0,1,1,0,0,232,323,1331,121,0
1,1,1,0,1,132,321,3132,131,1
1,1,1,1,1,321,232,3122,212,0
0,0,0,1,0,313,231,2121,332,0
1,1,0,1,0,132,211,2331,131,1
0,0,1,0,1,321,113,1221,212,0
1,1,0,0,1,132,323,1222,111,1
0,0,0,0,0,321,213,3213,222,0
1,1,0,0,0,121,213,1132,112,0
0,1,0,0,1,132,313,3212,122,1
1,1,0,1,1,312,223,3323,122,1
0,1,1,0,1,232,121,1212,221,0
0,1,0,1,0,132,213,3113,313,1
1,0,1,1,0,132,313,3312,332,1
1,0,1,0,0,121,312,3233,121,1
1,0,1,0,1,212,131,1233,111,0
1,0,0,0,1,312,123,3223,322,1
0,0,0,1,1,223,312,2332,223,1
1,0,0,0,0,313,132,3322,122,1
0,1,0,1,1,323,212,2331,313,0
0,0,1,0,0,313,221,3332,331,1
0,1,1,1,0,131,212,3121,213,1
0,1,1,1,1,321,232,1121,333,0
0,1,0,0,0,123,312,2131,322,1
1,0,0,1,0,231,323,3321,331,0
1,1,1,1,0,323,131,3232,331,0
0,0,1,1,1,312,233,1133,311,0
