iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,1,1,0,123,312,2231,312,0
1,1,0,1,1,232,121,1213,313,1
1,0,0,1,1,312,231,3223,331,0
1,0,1,1,1,212,121,3113,231,0
1,1,1,0,0,321,232,2112,233,0
0,1,0,0,1,311,132,1231,212,1
0,0,1,0,1,332,211,3113,331,1
0,0,1,1,1,131,213,1221,232,1
1,1,1,0,1,231,322,2133,322,0
0,0,0,0,0,113,321,2322,212,1
1,0,1,0,0,113,332,2211,332,1
0,0,0,1,1,132,213,2223,321,0
0,1,1,1,0,131,323,1121,111,0
1,0,0,0,1,232,313,3323,332,0
1,0,1,0,1,132,223,3131,212,1
0,1,0,1,0,231,323,2211,233,1
1,0,0,1,0,313,232,3231,132,0
1,1,0,0,1,132,213,2213,311,1
0,0,0,0,1,323,212,1332,211,0
1,1,0,1,0,331,213,1131,223,0
0,0,1,0,0,323,211,1312,132,0
1,1,1,1,1,123,212,2311,231,0
0,1,1,0,1,131,323,1221,211,1
0,1,1,0,0,323,231,3223,211,0
1,1,0,0,0,313,121,3232,122,1
0,0,0,1,0,213,122,1222,312,1
0,1,1,1,1,211,123,2233,323,0
0,1,0,1,1,232,321,1231,323,0
1,0,1,1,0,123,312,3323,113,1
1,0,0,0,0,311,132,2122,132,1
0,1,0,0,0,231,322,3313,321,1
0,0,1,1,0,223,312,1321,112,1
