iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,0,0,1,123,232,2331,212,1
0,0,0,0,0,321,232,3212,213,1
0,1,0,0,0,121,232,3221,313,0
1,0,0,1,1,321,233,3122,321,0
1,1,1,1,1,313,232,1331,121,0
0,0,1,1,0,132,221,1122,123,0
1,1,0,0,0,313,121,2332,311,1
0,1,1,1,1,131,212,1132,231,0
0,0,0,1,1,131,213,2122,313,1
1,0,1,0,1,212,121,2221,323,1
0,0,1,0,0,212,323,3221,132,1
1,1,1,1,0,121,313,3231,121,1
0,1,0,1,0,133,321,1321,233,0
1,0,0,0,1,123,232,2231,133,0
1,0,1,0,0,131,223,3122,233,1
1,0,1,1,0,323,232,3133,121,0
0,1,1,1,0,123,212,1233,311,0
0,0,1,0,1,313,221,3212,112,1
1,0,1,1,1,312,131,3131,122,0
1,1,1,0,0,313,231,3121,311,1
0,1,0,0,1,131,313,2132,313,0
0,1,0,1,1,233,121,2121,111,1
0,0,0,1,0,123,212,2332,321,0
1,0,0,1,0,121,213,1233,322,1
1,1,0,1,1,213,331,2221,223,1
0,0,1,1,1,223,311,2311,321,1
1,1,0,0,1,131,313,1331,133,1
0,1,1,0,1,313,221,1322,323,1
1,1,0,1,0,231,123,2223,222,0
1,1,1,0,1,123,331,1112,131,0
1,0,0,0,0,231,123,3123,123,0
0,1,1,0,0,121,313,2111,223,0
