iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,0,0,1,121,312,3211,121,0
0,1,1,1,0,232,123,2231,213,1
0,1,0,0,0,323,212,1233,113,0
1,1,0,1,0,112,223,3221,313,1
0,0,0,0,0,212,323,2122,111,1
0,0,0,1,1,131,323,2223,131,0
1,0,0,1,0,223,131,3121,223,1
1,1,1,1,1,322,213,2133,233,1
0,0,1,1,0,212,123,3121,232,1
1,1,1,0,0,312,221,3123,111,1
0,1,0,1,0,232,323,1221,313,0
1,0,1,1,0,131,313,3212,233,0
1,1,1,0,1,231,123,1121,333,0
0,0,1,0,0,223,132,1222,221,1
1,0,1,0,1,212,321,2221,211,0
0,0,1,1,1,313,131,2113,331,0
1,0,0,1,1,213,131,3312,111,0
0,0,1,0,1,213,121,2113,213,1
1,0,1,0,0,232,121,1123,313,0
1,0,0,0,0,121,313,2312,133,0
0,1,1,0,0,312,121,2211,322,1
1,1,0,0,1,331,213,1331,321,0
1,1,1,1,0,323,212,2232,231,1
0,1,1,1,1,121,233,3233,111,1
1,1,0,0,0,331,212,1321,321,1
0,0,0,1,0,312,121,2231,112,0
1,1,0,1,1,132,211,3123,111,1
0,1,1,0,1,323,212,2112,223,0
0,1,0,1,1,123,212,3211,112,0
0,1,0,0,1,121,232,2121,133,1
1,0,1,1,1,231,122,1132,311,1
0,0,0,0,1,212,331,1223,323,0
