iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,0,0,1,123,332,2212,333,0
1,1,0,1,0,312,123,1333,132,1
0,0,0,0,0,323,132,2122,233,0
1,0,1,0,0,332,123,1212,231,0
1,1,0,0,0,231,312,1321,121,1
1,0,0,0,0,123,312,2111,121,1
1,1,1,1,1,231,312,1322,213,0
0,1,0,0,1,313,232,1112,321,1
0,0,0,1,1,312,233,3133,323,0
1,0,0,1,1,223,332,3313,122,0
0,0,1,0,1,321,213,2331,133,0
0,1,0,0,0,312,123,2312,121,1
1,1,1,1,0,121,212,2233,121,0
0,0,1,0,0,312,123,3111,133,0
1,1,0,0,1,211,123,1112,121,1
0,1,1,1,1,213,332,3233,232,1
0,0,0,0,1,223,131,1323,233,1
1,0,1,1,0,321,112,2112,131,1
0,1,1,0,1,231,323,2112,132,1
0,1,1,1,0,211,123,3331,332,0
1,0,1,0,1,323,232,2231,222,1
0,0,1,1,1,312,121,2113,223,0
0,1,0,1,0,312,223,3221,133,1
0,1,1,0,0,312,123,2313,113,0
0,1,0,1,1,213,122,3211,123,1
1,0,0,1,0,332,121,2112,331,1
1,1,1,0,0,212,321,3321,212,1
1,1,1,0,1,123,312,2131,311,0
1,1,0,1,1,321,132,3223,233,0
1,0,1,1,1,312,223,3221,112,0
0,0,0,1,0,131,313,1132,223,1
0,0,1,1,0,212,123,2223,133,0
