iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,1,1,1,133,212,3221,113,0
1,0,1,1,0,221,312,3111,233,0
0,0,1,1,0,123,212,3112,132,1
0,0,0,0,0,231,312,2112,312,1
1,1,0,0,1,122,231,3313,222,1
1,1,0,0,0,121,213,3123,232,0
1,1,1,0,1,232,123,2221,313,1
0,0,0,0,1,323,132,3111,222,0
1,1,1,1,1,231,122,1221,211,1
1,0,1,0,0,132,311,3133,331,0
0,0,0,1,1,131,313,2211,221,0
1,1,0,1,0,131,212,3123,221,1
0,1,1,0,0,323,131,2321,211,1
1,1,1,0,0,123,212,2333,211,1
1,0,0,1,0,121,232,1323,232,1
0,0,1,0,1,123,212,2212,112,0
0,1,1,0,1,321,212,3222,122,1
1,0,1,1,1,313,132,1123,331,1
0,1,0,1,1,323,231,1132,231,0
0,0,1,0,0,213,131,3113,212,0
0,0,0,1,0,131,212,2111,211,0
1,0,1,0,1,212,323,1123,311,0
0,1,0,1,0,121,232,2331,313,1
1,0,0,0,1,212,323,2122,232,1
1,0,0,0,0,313,132,3332,132,0
1,1,1,1,0,212,123,2311,322,0
1,0,0,1,1,213,321,1121,133,1
0,1,1,1,0,313,132,1122,123,0
0,1,0,0,0,321,132,2311,111,1
0,0,1,1,1,132,321,2232,132,0
1,1,0,1,1,331,212,3322,313,1
0,1,0,0,1,131,312,2233,233,0
