iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,1,0,1,121,213,3132,211,0
1,0,0,1,1,211,123,1113,112,1
0,1,1,1,0,121,332,3311,112,0
1,1,1,1,1,321,133,2323,111,1
0,0,0,0,0,323,231,1221,122,0
0,0,0,1,0,321,233,2232,133,0
1,0,1,1,1,231,323,2132,222,1
1,0,1,1,0,113,231,1333,323,1
1,1,1,1,0,123,232,2113,332,1
0,0,1,1,0,312,123,3312,131,1
1,1,0,0,1,121,213,3113,131,1
1,1,0,1,1,122,231,2333,222,1
0,0,0,1,1,321,213,2321,111,0
0,1,0,0,1,321,212,3323,313,0
1,0,0,0,1,212,131,1213,111,1
1,1,0,0,0,322,231,3131,221,1
0,1,1,1,1,321,133,1113,223,1
1,0,0,0,0,212,323,2211,331,0
1,0,1,0,1,213,131,3221,233,0
0,0,0,0,1,212,321,1322,231,0
1,0,1,0,0,132,221,3131,132,1
1,1,1,0,0,313,232,3131,123,0
0,0,1,0,0,212,323,1132,131,1
1,1,0,1,0,231,312,1331,322,0
1,0,0,1,0,123,332,1221,312,0
0,1,1,0,0,121,312,2331,232,1
0,1,0,0,0,312,123,3211,112,1
0,1,1,0,1,323,132,3211,113,0
0,1,0,1,0,223,312,3122,122,0
0,0,1,1,1,121,312,3121,333,0
0,1,0,1,1,312,131,3122,222,1
1,1,1,0,1,313,121,2123,311,0
