iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,1,1,1,323,232,3323,322,0
1,1,1,1,0,221,312,3133,322,1
0,0,0,0,1,123,332,3331,313,1
1,0,0,1,0,132,311,2212,112,0
0,1,1,0,1,212,121,2323,111,1
0,0,1,1,0,123,332,1211,132,1
1,0,1,0,0,321,133,3223,322,0
0,0,0,1,1,321,212,3111,333,1
1,0,0,0,1,313,121,2132,312,0
0,1,1,1,1,211,132,1223,311,1
0,0,1,0,1,132,221,3131,223,0
1,1,0,0,1,131,212,1232,331,0
1,0,1,1,0,132,213,1132,131,1
0,0,0,0,0,323,212,1332,321,1
1,1,0,1,1,231,313,3331,332,1
1,1,1,0,0,121,213,3222,231,0
0,0,1,1,1,231,123,3121,222,1
1,0,1,1,1,132,213,3232,131,0
0,1,1,1,0,332,213,1121,331,0
0,1,0,0,0,313,131,2212,121,1
1,0,0,1,1,313,132,3311,122,1
0,1,0,1,1,131,312,1212,111,0
1,1,0,0,0,121,313,1122,313,0
1,1,1,0,1,313,231,3322,322,1
0,0,1,0,0,113,232,2213,321,0
0,1,1,0,0,131,323,2113,322,0
1,0,0,0,0,123,331,1131,132,1
0,1,0,0,1,312,233,2321,233,1
1,1,0,1,0,121,232,1212,332,1
0,0,0,1,0,331,213,3122,323,0
1,0,1,0,1,123,231,2121,333,0
0,1,0,1,0,211,123,3123,213,0
