iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,0,1,1,312,123,3133,123,1
0,1,0,0,1,113,321,1231,113,0
1,1,0,1,0,232,123,1213,212,0
1,1,1,0,1,231,123,3212,112,0
1,1,1,1,1,121,312,1333,223,0
1,1,1,0,0,213,121,3132,311,0
0,0,1,1,1,311,123,1221,111,1
0,1,0,0,0,231,113,1132,233,1
0,0,1,0,1,323,132,1131,313,1
0,1,1,1,1,232,121,2312,232,1
0,1,1,1,0,133,322,3131,321,0
0,1,0,1,0,123,212,2221,123,1
1,0,1,0,0,123,312,1332,112,1
1,1,0,0,1,232,123,3311,113,0
1,1,0,1,1,132,313,3312,131,0
0,0,0,0,0,331,113,1322,112,0
1,1,0,0,0,121,232,2312,112,1
1,0,0,1,1,213,121,2323,112,1
1,0,1,0,1,232,313,1221,313,0
1,0,1,1,1,231,123,3311,122,1
0,1,1,0,1,121,232,2312,232,1
1,0,0,0,1,323,212,3211,313,0
0,0,0,1,0,232,121,2211,331,1
1,0,0,1,0,231,123,1211,321,0
1,1,1,1,0,213,132,3223,213,1
0,0,0,1,1,131,313,3123,331,0
1,0,0,0,0,223,132,3221,132,1
0,0,1,1,0,132,321,3123,221,0
0,0,1,0,0,312,231,2121,322,0
0,0,0,0,1,231,322,1121,212,0
0,1,1,0,0,212,131,2121,212,1
1,0,1,1,0,331,213,2321,213,1
