iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,1,0,1,122,331,3122,231,1
1,0,1,0,0,132,213,3121,232,0
1,1,1,1,1,121,332,3221,323,1
0,0,1,0,1,312,231,2323,113,1
1,0,0,0,1,332,121,1332,121,1
1,0,1,0,1,213,331,1132,122,0
0,1,0,1,1,212,323,2312,111,1
1,1,1,0,1,132,323,2321,322,0
0,1,1,0,0,321,212,3131,322,1
1,0,0,0,0,321,213,2123,312,0
1,0,0,1,0,121,312,1233,132,0
1,0,0,1,1,121,213,1221,133,1
0,0,1,1,1,132,213,1323,131,1
0,0,1,1,0,131,212,3221,133,1
0,0,0,1,0,113,321,2131,112,1
0,1,0,0,0,231,323,2322,322,0
0,0,0,0,0,213,321,2131,211,0
0,0,0,1,1,212,121,1311,121,0
0,1,0,0,1,131,323,2213,111,1
0,1,1,1,0,131,213,1121,321,1
1,1,1,1,0,132,313,1132,323,0
1,1,0,1,1,123,232,3233,233,1
0,0,0,0,1,223,312,3111,333,1
0,1,0,1,0,132,323,2221,111,0
0,1,1,1,1,323,211,2113,112,0
1,0,1,1,1,313,121,3132,231,0
1,1,0,1,0,321,212,2323,221,1
1,1,0,0,1,231,113,1112,231,0
1,1,0,0,0,332,123,1112,112,0
1,0,1,1,0,323,131,3223,233,0
0,0,1,0,0,323,231,1331,321,1
1,1,1,0,0,232,123,2132,122,0
