iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,0,1,1,311,123,3132,331,1
1,0,1,1,0,313,132,1313,232,1
0,0,1,1,1,212,123,3122,312,1
1,0,0,0,1,213,121,2313,121,1
0,1,1,0,0,311,223,3313,132,1
1,0,0,1,1,331,213,2213,233,0
0,0,0,1,0,211,323,1323,322,1
0,1,0,0,0,233,121,2312,132,0
1,0,0,0,0,313,231,1113,231,1
1,1,1,0,1,323,231,1321,213,0
1,1,0,1,0,313,221,1133,322,1
0,1,0,0,1,131,313,1131,331,0
1,1,1,0,0,123,211,1132,111,0
1,0,1,0,0,233,112,1113,211,0
0,0,1,0,1,232,123,1331,311,0
0,1,1,0,1,132,311,3111,133,1
0,1,1,1,0,132,321,2211,123,0
1,0,0,1,0,212,321,2313,313,1
1,1,0,0,1,213,132,1132,212,0
0,0,1,0,0,213,321,3322,322,1
1,0,1,0,1,323,132,1313,223,0
1,0,1,1,1,212,321,2221,333,0
1,1,0,0,0,323,131,3121,333,1
0,1,1,1,1,232,321,2312,133,0
0,0,0,0,0,321,212,1313,333,0
1,1,0,1,1,212,131,2131,232,1
1,1,1,1,1,231,313,3321,231,0
0,0,1,1,0,132,211,2312,222,1
1,1,1,1,0,231,313,1313,312,1
0,0,0,0,1,212,131,3312,221,0
0,1,0,1,0,123,211,1313,331,0
0,0,0,1,1,232,323,2113,321,1
