iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,1,1,0,132,223,3113,223,1
1,1,1,0,1,232,123,3211,121,0
1,0,1,1,1,123,212,2312,212,0
1,0,0,1,0,321,212,3321,332,1
0,1,0,0,0,131,213,2112,332,1
1,0,1,0,0,312,123,2113,211,1
1,1,0,1,1,313,232,2323,323,0
1,1,1,0,0,131,313,2312,112,1
1,0,1,0,1,321,212,2332,222,1
0,1,1,0,1,212,323,2221,111,0
0,0,1,0,0,113,321,3212,331,0
1,0,0,1,1,131,323,2113,211,0
1,0,1,1,0,312,131,3321,322,0
0,0,0,0,1,313,232,3133,321,0
1,0,0,0,0,121,313,2232,122,0
1,1,0,0,0,323,131,3111,332,1
0,0,0,1,1,331,112,1321,113,0
0,1,0,1,1,313,121,3112,321,1
0,0,1,1,1,232,323,2312,213,0
0,1,1,1,0,323,132,2131,231,0
0,0,1,0,1,313,131,3323,321,0
1,1,1,1,1,322,211,3323,323,1
0,0,0,1,0,311,123,3312,112,1
0,0,0,0,0,312,131,3311,131,1
1,1,0,0,1,131,313,3313,222,1
0,0,1,1,0,313,232,1131,121,0
0,1,0,0,1,331,212,2213,131,0
1,1,0,1,0,232,313,2133,313,1
0,1,1,0,0,232,321,2212,313,1
1,0,0,0,1,131,313,3322,213,1
0,1,1,1,1,133,212,3111,222,0
0,1,0,1,0,322,213,3231,223,1
