iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,0,1,1,121,332,1121,112,0
0,1,0,1,1,311,133,2332,332,1
0,1,1,0,0,123,331,3132,123,0
1,0,1,1,1,132,313,3331,211,0
0,1,0,1,0,121,232,3322,121,1
0,1,0,0,1,323,232,1233,213,1
0,1,1,0,1,132,223,2113,313,1
1,1,1,0,1,323,232,2313,223,1
1,1,0,0,0,321,232,3121,213,0
1,0,1,1,0,313,131,3133,133,1
1,1,0,1,0,332,121,2212,131,0
1,1,1,1,1,321,213,2313,332,0
0,0,1,0,1,131,213,1212,312,1
0,0,0,1,0,231,123,1222,223,0
1,0,1,0,0,321,213,3212,122,0
0,1,1,1,1,232,321,1221,231,0
1,1,1,1,0,131,313,3111,231,0
1,0,0,0,1,121,313,3213,311,1
1,0,0,1,1,112,231,1132,122,0
1,1,1,0,0,213,121,3123,212,1
0,1,1,1,0,323,231,2121,123,1
0,0,0,0,0,212,321,3211,323,0
0,1,0,0,0,312,123,1313,312,1
0,0,0,0,1,212,121,1122,221,1
1,0,0,1,0,312,123,3113,332,0
0,0,1,1,0,232,123,1311,313,0
0,0,1,1,1,212,131,2211,323,1
1,1,0,0,1,223,131,2311,132,1
0,0,1,0,0,323,231,1331,332,0
1,0,1,0,1,122,313,2211,321,1
1,1,0,1,1,131,322,2322,123,1
1,0,0,0,0,132,321,3322,333,0
