iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,0,1,0,211,122,1132,133,0
0,1,1,0,1,313,132,3112,213,1
1,0,0,0,0,132,323,3121,332,1
0,0,0,1,0,123,312,2132,323,1
0,1,1,1,0,212,121,2331,231,1
0,0,0,0,0,323,132,2311,323,0
0,0,1,0,0,123,231,1133,312,1
0,0,0,0,1,123,232,3132,223,0
0,1,0,1,1,311,123,2322,323,1
1,1,0,1,1,321,132,3313,132,0
1,1,0,0,1,212,121,1313,223,0
0,1,0,0,0,231,312,2323,112,0
1,0,1,1,1,213,121,2113,222,0
1,1,1,1,0,232,323,1333,313,1
0,1,1,1,1,131,323,2323,231,1
1,1,0,0,0,123,331,1131,131,0
0,0,0,1,1,212,323,3211,211,0
1,1,0,1,0,121,213,3122,313,1
1,0,0,1,1,231,123,2331,331,1
1,1,1,0,0,332,121,1122,213,0
0,0,1,0,1,211,132,3122,321,1
0,1,0,1,0,323,231,1321,222,1
1,0,1,0,1,133,312,3212,211,0
1,0,1,0,0,121,212,1113,323,0
1,1,1,0,1,322,213,1231,311,1
0,1,0,0,1,123,212,1331,233,1
1,0,0,0,1,131,313,2213,112,0
1,1,1,1,1,213,321,2112,331,1
0,0,1,1,1,331,112,1231,332,0
1,0,1,1,0,132,321,2211,332,0
0,1,1,0,0,123,212,2212,312,0
0,0,1,1,0,131,313,1221,221,1
