iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,0,1,1,323,231,3312,131,1
0,1,0,1,1,233,312,1131,333,1
0,0,0,1,0,312,233,3311,333,0
1,0,1,1,0,332,123,2122,112,1
1,1,0,0,0,132,313,1322,233,1
0,0,1,0,1,313,231,1322,323,1
0,1,1,0,0,131,312,3131,211,0
1,1,1,0,1,213,121,1123,211,0
1,1,0,1,0,323,232,1231,213,1
0,0,0,0,0,231,323,3331,133,1
0,1,0,1,0,323,212,3221,331,1
1,0,1,0,0,213,321,2132,311,1
1,1,1,0,0,312,231,2133,213,1
1,0,0,1,1,223,312,1312,131,0
0,0,0,0,1,132,321,1233,221,0
1,0,0,0,1,122,313,1333,311,0
0,0,1,1,0,312,231,2211,113,0
0,1,1,1,0,231,313,2322,223,0
1,0,1,0,1,121,313,1112,333,1
1,0,0,1,0,131,212,1113,221,1
1,1,1,1,0,213,322,2312,123,0
1,1,1,1,1,213,132,2332,323,1
0,0,1,0,0,123,311,1332,322,0
0,1,1,1,1,331,113,1211,111,0
0,1,0,0,0,213,131,1233,221,1
1,1,0,0,1,321,132,1312,132,1
0,0,1,1,1,322,213,1233,313,0
1,0,0,0,0,313,232,2223,122,0
1,0,1,1,1,311,123,1121,231,1
1,1,0,1,1,131,313,1322,312,0
0,1,0,0,1,131,212,3232,313,0
0,1,1,0,1,312,121,3112,222,0
