iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,0,1,0,121,313,3132,223,1
1,0,1,0,0,132,321,2123,312,1
1,1,0,0,0,123,232,3211,332,1
1,0,0,0,1,133,212,3212,133,0
0,1,0,0,1,131,212,2332,121,0
0,0,1,0,1,132,321,3213,133,0
1,0,0,1,1,133,321,3213,213,1
1,1,1,0,1,232,321,3222,333,1
1,0,0,1,0,132,323,1322,311,0
0,1,1,1,1,312,131,1212,333,1
0,0,0,0,1,121,212,1123,122,1
0,1,0,0,0,232,121,1121,211,0
1,0,1,1,1,223,312,2113,221,0
1,1,1,0,0,231,123,1311,211,0
1,1,1,1,1,213,332,2313,222,0
0,0,0,0,0,313,131,2213,312,1
1,1,0,0,1,232,323,2211,113,0
0,1,1,1,0,123,311,1112,221,0
0,1,1,0,1,231,323,1311,313,1
0,0,1,0,0,323,131,2132,121,1
0,1,1,0,0,323,132,1311,322,1
0,0,0,1,1,131,313,1132,331,1
0,1,0,1,1,323,212,1233,221,0
0,1,0,1,0,112,323,1212,113,0
0,0,1,1,0,132,323,1232,331,1
1,0,1,0,1,123,331,2231,231,1
0,0,1,1,1,121,332,1323,221,1
1,1,1,1,0,313,231,1321,112,0
1,1,0,1,1,323,212,2213,321,1
1,0,1,1,0,321,212,1212,131,0
1,0,0,0,0,213,132,2313,331,0
0,0,0,1,0,132,323,3121,123,0
