iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,1,0,0,221,312,3331,333,0
0,1,0,1,0,313,231,1213,112,1
0,0,0,0,1,213,121,3223,223,1
0,1,1,0,0,212,131,3121,111,1
1,0,0,0,1,231,312,2111,232,0
1,0,0,0,0,131,313,3122,223,1
0,1,1,1,1,232,123,3233,221,0
1,1,0,1,0,232,313,1332,221,1
1,0,1,0,1,113,232,1123,311,0
0,0,1,1,1,131,212,1322,121,1
0,0,1,0,0,323,211,3213,222,1
0,1,1,1,0,132,311,1311,323,0
1,0,0,1,0,321,112,1222,123,0
0,1,1,0,1,231,123,3223,232,0
1,1,1,0,0,231,123,2213,313,1
0,0,0,0,0,312,131,1233,232,0
0,1,0,0,0,313,232,1123,213,0
1,1,0,1,1,321,232,3211,222,1
1,1,1,0,1,231,323,1211,221,1
1,0,1,1,0,313,231,1133,132,0
0,1,0,0,1,311,132,1313,123,0
0,0,0,1,1,132,311,2322,131,1
1,0,1,1,1,213,132,3113,133,0
0,0,1,0,1,312,223,3323,133,0
0,1,0,1,1,133,212,2113,223,1
1,1,0,0,0,231,313,2121,123,1
1,1,1,1,1,313,232,3221,213,0
1,0,0,1,1,313,231,1223,221,0
1,1,0,0,1,321,132,2123,133,0
0,0,1,1,0,211,322,2232,222,1
1,1,1,1,0,321,213,2213,331,1
0,0,0,1,0,123,212,1133,232,1
