iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,0,1,1,0,331,122,3132,311,1
0,0,1,0,0,131,213,3331,223,1
0,1,1,1,0,231,123,1123,321,0
1,0,1,1,1,122,313,1332,331,1
1,1,1,0,0,113,231,2123,332,0
1,1,0,1,0,233,122,3331,132,0
1,0,1,0,0,121,312,3221,313,1
0,0,0,1,0,232,123,1321,222,0
0,1,1,0,1,212,121,3231,322,1
1,1,1,1,1,331,223,1213,112,0
0,0,0,0,0,313,132,3132,111,1
1,0,0,0,1,231,312,1312,213,0
0,1,0,1,1,322,211,3223,323,0
1,0,1,0,1,212,323,1121,121,0
0,1,1,0,0,323,131,3113,111,1
0,1,0,0,1,121,313,1333,123,1
1,0,0,1,1,131,312,2132,313,0
1,1,0,1,1,211,132,2111,313,1
1,0,0,1,0,232,313,2112,212,0
0,0,0,0,1,231,122,3222,212,1
0,1,0,0,0,123,312,1233,232,1
1,0,0,0,0,231,312,2122,231,0
1,1,1,0,1,312,233,1233,231,1
0,0,1,1,0,322,213,1233,322,0
0,0,1,1,1,313,231,2321,311,1
0,1,0,1,0,121,313,2123,332,0
0,0,1,0,1,121,232,3312,133,1
0,1,1,1,1,312,231,3113,232,0
1,1,0,0,1,232,123,3113,332,1
0,0,0,1,1,131,323,2122,223,0
1,1,1,1,0,323,212,3231,321,0
1,1,0,0,0,312,233,2231,323,1
