iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,1,0,1,1,312,123,2223,113,1
1,1,1,0,1,231,122,1123,223,1
0,1,1,0,0,112,321,1333,312,0
0,0,1,0,1,211,132,1213,312,0
1,0,0,0,1,133,321,1112,212,0
1,0,1,1,0,231,323,1122,231,0
1,0,1,0,0,121,232,2232,122,1
0,0,1,0,0,121,212,2112,222,0
1,0,0,0,0,313,122,3131,132,1
0,0,1,1,1,321,132,3212,313,0
0,0,0,0,0,212,133,2331,111,1
1,1,0,0,1,231,123,1131,131,0
0,0,0,0,1,312,123,1221,233,1
1,1,0,1,1,121,212,1113,123,1
1,0,1,1,1,321,132,2331,311,0
1,1,1,1,0,131,212,3221,221,0
0,0,0,1,1,313,132,3211,221,0
0,1,0,0,0,212,323,2123,231,0
1,1,1,0,0,311,232,1131,113,1
1,0,1,0,1,232,313,1122,213,0
1,1,1,1,1,331,213,3122,113,1
1,0,0,1,0,323,132,2332,312,1
1,0,0,1,1,321,132,1222,211,0
0,1,0,0,1,312,231,2121,233,0
0,1,1,1,0,313,231,3122,312,0
0,1,1,0,1,123,231,1133,332,1
0,0,0,1,0,232,121,1232,123,1
0,1,1,1,1,131,312,2132,233,1
1,1,0,0,0,232,323,2312,331,1
1,1,0,1,0,221,132,3313,323,1
0,0,1,1,0,131,213,3131,331,1
0,1,0,1,0,221,313,1222,121,0
