iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
0,0,1,1,1,213,321,2132,232,0
1,1,0,0,0,321,132,2231,333,1
0,0,0,0,1,312,131,3313,131,0
1,0,0,0,1,123,231,1223,211,0
0,1,0,0,0,121,313,1223,222,1
1,1,0,0,1,212,133,3111,312,0
1,0,0,1,0,231,313,1333,231,0
0,0,0,0,0,313,231,1123,221,0
1,1,0,1,0,212,323,2221,312,0
1,0,1,0,1,323,232,1112,221,0
1,0,1,1,1,123,232,1311,213,1
0,0,1,0,0,212,323,2132,332,1
0,1,1,1,0,312,221,3332,232,0
0,0,0,1,1,232,121,3233,111,0
1,1,1,1,1,232,313,1112,233,0
0,1,0,1,0,123,311,2133,323,1
1,1,1,0,0,121,313,1321,121,1
1,0,1,0,0,121,233,2112,213,0
0,1,1,1,1,223,311,2321,113,0
0,1,0,0,1,313,132,2232,111,1
0,0,0,1,0,321,132,1212,133,1
0,1,1,0,0,321,212,2121,233,1
1,1,0,1,1,313,231,2312,313,1
1,1,1,0,1,132,221,3213,131,0
1,0,0,0,0,131,323,3233,221,1
1,1,1,1,0,323,212,3232,331,0
0,1,0,1,1,233,312,3213,213,1
0,0,1,1,0,112,321,1131,233,0
0,1,1,0,1,332,121,3231,133,1
1,0,0,1,1,212,331,1211,312,1
0,0,1,0,1,321,212,3313,111,1
1,0,1,1,0,213,132,3331,131,1
