iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,1,1,1,332,121,2212,232,0
0,0,0,1,0,132,213,2213,231,0
1,1,1,0,1,132,321,1321,311,1
0,1,0,0,0,123,231,1233,322,0
0,1,0,1,0,123,212,1132,332,0
1,0,1,0,0,313,221,2313,131,1
1,1,0,1,1,323,131,2321,221,0
1,0,0,1,1,121,232,2322,232,1
1,1,0,0,1,231,112,1313,332,0
1,0,1,1,1,323,131,3131,321,0
0,1,1,1,0,321,232,3323,111,1
0,1,1,1,1,321,213,3132,333,0
1,1,1,1,0,121,232,3132,332,0
1,0,0,0,1,312,231,2321,312,0
0,0,1,1,1,231,313,1311,133,1
0,0,0,0,1,231,123,3331,113,0
1,1,1,0,0,321,232,2132,112,1
1,1,0,0,0,122,313,1312,133,1
0,0,0,1,1,123,332,3312,222,1
0,0,1,1,0,313,132,3322,323,1
1,1,0,1,0,321,132,3312,331,1
1,0,0,0,0,323,212,1331,312,0
1,0,0,1,0,213,131,1333,221,1
0,0,1,0,0,332,121,2312,232,1
0,0,1,0,1,323,112,3323,122,1
0,0,0,0,0,213,321,1313,311,0
0,1,1,0,1,121,212,2111,231,1
1,0,1,0,1,121,312,1331,212,0
0,1,0,0,1,312,231,2111,331,1
1,0,1,1,0,312,131,1121,111,0
0,1,0,1,1,323,132,2132,113,1
0,1,1,0,0,321,232,3133,323,0
