iStimSide,iTargSide,iSideFirst,iStim,iGen,sylTarg,sylDist,sylCent,sylFlank,sylFlankFirst
1,1,0,0,0,123,232,1313,333,1
1,1,0,0,1,313,122,1122,232,0
0,1,1,0,0,232,121,2213,333,0
0,1,0,0,1,212,323,1312,132,1
0,0,1,1,1,321,232,1313,122,0
0,1,1,1,0,132,221,1132,222,0
0,0,1,1,0,131,212,1121,221,0
1,1,0,1,0,231,313,3133,233,0
0,1,1,0,1,123,212,2223,223,0
1,0,0,1,0,321,112,1121,133,1
1,0,0,0,1,313,231,2311,321,0
0,0,0,1,0,232,321,3222,123,0
1,0,1,1,1,212,321,3212,222,1
0,0,1,0,1,212,121,1113,133,1
1,1,1,0,1,331,213,1222,313,1
1,0,0,1,1,132,323,2232,133,0
1,0,1,1,0,311,132,1133,223,0
0,0,0,1,1,132,213,1212,231,1
0,0,0,0,1,132,213,2232,331,1
0,1,1,1,1,223,332,3233,121,1
1,0,1,0,1,123,332,3212,321,1
0,0,1,0,0,122,231,1112,131,1
1,1,0,1,1,132,321,1313,112,1
1,1,1,1,1,231,323,2313,123,0
1,0,0,0,0,223,331,2112,313,1
1,1,1,0,0,131,323,2131,311,1
1,1,1,1,0,321,232,1323,121,0
0,1,0,1,0,313,231,1132,121,0
0,0,0,0,0,123,212,2313,221,0
0,1,0,1,1,231,123,2231,333,0
0,1,0,0,0,231,113,2123,213,1
1,0,1,0,0,332,121,3231,221,1
